ID,Einreisejahr,receives_support_from_job_center,job_qualification_ger,Average_Time_Spent_Minutes,Nationalit_t,completed_job_training,Deutscher_Ehepartner,Kinder,Rente,availability,sales,phone_problems_with_immigration_authorities,net_income_second_check,Arbeitsvertrag,right_of_residence,valid_national_passport_(country_of_origin),acquired_right_of_residence,already_applying_for_naturalization,phone_language_certificate.1,Email_Opt_Out,phone_temporary_right_of_residence_since,receives_support_from_job_center_check,residence_permit,Integrationsnachweis,application_permanent_right_of_residence,Was_wollen_Sie,Wie_ist_ihr_aktueller_Familienstand,Days_Visited,graduation,requirements_fulfilled_for,Vorstrafe,Integrationstest,Highest_Test_Attempted,Highest_Attempt_Outcome
0,2015,0,2,8.66,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,3,6,1,2,3,2,0
1,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,3
2,2015,0,2,17.54,134,1,2,1,7,1,2,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,7,6,1,2,3,2,7
3,2015,0,1,5.53,134,1,1,2,6,1,0,6,4,0,1,0,2015,3,3,0,2021,2,7,4,3,1,4,1,7,3,2,1,3,7
4,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
5,2015,0,2,1.04,134,1,2,1,7,0,2,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
6,2015,2,1,3.11,91,0,2,2,2,1,1,2,2,4,7,1,2017,2,3,0,2021,2,0,4,5,1,1,1,4,2,7,1,4,2
7,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
8,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
9,2012,2,2,7.72,0,3,2,3,6,1,0,1,1,4,1,0,2013,3,2,0,2021,2,0,4,1,6,1,1,5,4,3,1,3,7
10,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,4
11,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
12,2015,0,2,3.78,134,1,2,1,7,0,0,3,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,3,3,2,0
13,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,5
14,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,2
15,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
16,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
17,2015,0,2,0.0,134,1,2,1,7,1,1,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
18,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
19,2015,0,2,6.25,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
20,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
21,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
22,2015,0,2,4.45,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
23,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
24,2016,2,0,13.0,0,0,2,0,2,1,1,2,4,4,7,1,2017,0,6,0,2021,2,10,1,5,6,1,155,4,2,3,0,4,5
25,2015,0,0,4.88,134,1,2,0,0,0,0,6,1,0,1,0,2017,2,2,0,2021,2,7,4,3,1,1,1,4,2,2,1,3,9
26,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
27,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,8
28,2014,2,0,9.97,54,2,2,0,0,1,0,6,4,4,1,0,2023,3,4,0,2021,3,10,5,2,1,1,2,7,2,3,1,3,2
29,2015,2,2,4.6,134,1,2,1,7,0,0,1,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,3,3,2,0
30,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,7
31,2015,2,2,0.0,30,0,2,1,7,0,0,7,2,4,5,2,2017,5,7,0,2021,3,0,5,5,3,2,1,6,1,3,3,3,4
32,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
33,2015,0,2,3.61,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
34,2015,0,2,10.65,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,3,6,1,2,3,2,9
35,2016,1,0,5.51,111,3,2,0,4,1,0,3,2,2,7,0,2017,3,4,0,2022,2,0,4,5,1,1,1,4,2,3,1,3,7
36,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,7
37,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,4,6,1,2,3,2,7
38,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
39,2015,0,2,4.3,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,4,6,1,2,3,2,7
40,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,0
41,2015,2,0,4.58,0,0,1,1,0,1,0,7,3,4,7,2,2017,3,6,0,2021,2,10,4,5,1,4,2,4,2,3,2,3,1
42,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
43,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
44,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,0
45,2015,0,2,2.93,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
46,2015,0,2,8.92,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
47,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
48,2015,2,2,8.4,111,3,2,1,7,0,1,6,2,1,5,2,2017,5,7,0,2021,3,0,4,5,3,2,3,6,1,3,3,2,2
49,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,1
50,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
51,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
52,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
53,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
54,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
55,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
56,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
57,2015,2,2,4.42,74,1,2,3,7,0,0,6,2,4,4,0,2015,3,2,0,2021,2,3,5,3,1,1,2,5,3,3,1,4,7
58,2015,0,2,5.37,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
59,2015,0,2,3.66,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,3,3,2,7
60,2015,2,2,6.69,0,1,1,1,6,1,1,9,3,4,7,2,2017,3,2,0,2020,2,0,4,5,4,4,8,0,2,3,1,3,7
61,2015,0,2,3.37,134,1,2,1,7,0,1,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,6,6,1,2,3,2,2
62,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,0
63,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
64,2016,2,0,2.43,46,0,2,0,3,1,1,6,3,4,7,2,2017,3,3,0,2021,0,10,4,5,6,1,5,4,2,3,1,3,7
65,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
66,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
67,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
68,2016,0,2,4.08,134,1,1,1,6,0,0,6,3,0,7,1,2017,2,3,0,2021,2,7,4,5,1,4,2,3,2,2,1,2,0
69,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,1
70,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
71,2016,2,0,6.23,111,0,2,0,4,0,1,3,2,4,1,2,2012,3,2,0,2020,2,0,4,1,1,1,1,4,2,3,1,3,0
72,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,2
73,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
74,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,5
75,2015,0,2,4.03,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
76,2015,0,2,0.0,134,1,2,1,7,0,1,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,3,6,1,2,3,2,2
77,2015,0,2,7.76,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
78,2015,2,2,0.0,111,3,2,1,7,0,0,9,2,4,5,2,2017,5,7,0,2022,3,0,1,5,3,2,1,6,1,3,3,2,5
79,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
80,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
81,2015,0,2,6.65,0,1,2,1,7,0,1,9,2,2,5,2,2017,5,7,0,2023,3,6,1,5,3,2,3,6,1,3,3,2,7
82,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
83,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
84,2015,0,0,8.3,134,1,0,0,7,0,0,6,2,0,1,0,2023,3,3,0,2021,2,7,4,3,6,0,1,7,2,2,1,3,7
85,2015,0,2,21.23,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
86,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
87,2015,0,2,4.96,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,1
88,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
89,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
90,2015,0,2,0.0,134,1,2,1,7,0,1,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,7
91,2015,1,2,2.79,115,3,2,0,2,1,0,7,1,4,7,2,2017,2,4,1,2021,2,0,4,5,6,1,1,0,2,3,1,4,7
92,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
93,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,8
94,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
95,2013,0,2,0.0,134,1,1,1,6,0,0,6,4,0,7,2,2017,2,2,0,2021,3,7,4,5,1,4,0,3,2,2,1,3,2
96,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
97,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
98,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,4
99,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
100,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
101,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
102,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
103,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
104,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
105,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,0
106,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
107,2015,0,2,3.8,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
108,2015,0,2,8.55,134,1,2,1,7,0,0,9,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,3,3,2,7
109,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,7
110,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
111,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,4
112,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
113,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,2
114,2015,0,2,5.97,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,3,6,1,2,3,2,3
115,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
116,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
117,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,3
118,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,8
119,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
120,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
121,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
122,2015,2,2,0.0,30,3,2,1,7,0,0,3,2,1,5,2,2017,5,7,0,2019,3,0,4,5,3,2,2,6,1,3,3,3,7
123,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,1
124,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,4
125,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
126,2015,0,2,4.71,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,4,6,1,2,3,2,9
127,2015,0,2,2.71,134,1,2,1,7,0,1,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,1
128,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
129,2015,2,0,6.92,30,0,1,2,2,1,1,6,3,4,1,1,2015,3,2,0,2015,2,0,5,3,1,4,3,4,3,3,1,3,7
130,2015,2,2,0.0,30,1,2,0,4,1,0,6,2,4,1,2,2016,3,3,0,2020,2,0,4,1,1,1,1,0,2,3,0,3,1
131,2015,0,2,0.0,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,8
132,2015,0,2,3.17,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,5,6,1,2,3,2,7
133,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,2,6,1,2,3,2,3
134,2015,0,2,4.65,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,9
135,2015,0,2,6.73,134,1,2,1,7,1,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,8,6,1,2,3,2,7
136,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
137,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
138,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,7
139,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
140,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,3
141,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
142,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
143,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
144,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
145,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
146,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,9
147,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
148,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,1,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
149,2015,0,2,4.89,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,2,6,1,2,3,2,1
150,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,1,6,1,2,3,2,9
151,2015,1,2,0.0,0,1,1,2,7,0,0,6,2,0,5,2,2017,5,7,0,2020,1,0,6,5,3,4,1,6,1,3,3,2,7
152,2015,0,0,5.35,134,1,1,2,4,1,0,6,3,0,1,1,2016,3,3,0,2021,2,7,4,3,1,4,1,4,2,2,1,4,7
153,2015,0,2,0.0,134,1,2,1,7,0,0,6,2,0,5,2,2017,5,7,0,2021,3,7,4,5,3,2,0,6,1,2,3,2,1
